index,ID,fraud_flag
0,85517,0
1,51113,0
2,83008,0
3,78712,0
4,77846,0
5,86994,0
6,113204,0
7,41798,0
8,83365,0
9,39361,0
10,85472,0
11,107968,0
12,106761,0
13,38615,0
14,70262,0
15,108706,0
16,45850,0
17,88776,0
18,70897,0
19,9281,0
20,57260,0
21,81952,0
22,49664,0
23,114885,0
24,103479,0
25,14974,0
26,85911,0
27,93326,0
28,94505,0
29,74345,0
30,6467,0
31,38181,0
32,66534,0
33,112708,0
34,12714,0
35,28164,0
36,101236,0
37,45079,0
38,107503,0
39,11214,0
40,96758,0
41,33741,0
42,9233,0
43,79243,0
44,62632,0
45,74047,0
46,98423,0
47,7110,0
48,10229,0
49,83293,0
50,62602,0
51,63816,0
52,73625,0
53,53672,0
54,60178,0
55,24896,0
56,100109,0
57,68131,0
58,60221,0
59,107816,0
60,113225,0
61,74631,0
62,48325,0
63,12195,0
64,41748,0
65,54937,0
66,114893,0
67,26573,0
68,45932,0
69,19877,0
70,23604,0
71,58088,0
72,81693,0
73,85820,0
74,52724,0
75,31167,0
76,105175,0
77,58294,0
78,94117,0
79,20403,0
80,70087,0
81,1798,0
82,23212,0
83,96418,0
84,100827,0
85,33017,0
86,29750,0
87,2633,0
88,36459,0
89,79799,0
90,53332,0
91,95310,0
92,43380,0
93,9154,0
94,97351,0
95,63,0
96,73476,0
97,71378,0
98,57980,0
99,109438,0
100,28864,0
101,18522,0
102,72587,0
103,57378,0
104,35253,0
105,89500,0
106,75431,0
107,42547,0
108,34502,0
109,13248,0
110,5617,1
111,13493,0
112,21681,0
113,39437,0
114,67811,0
115,82928,0
116,5922,0
117,54625,0
118,62154,0
119,3536,0
120,56119,0
121,25896,0
122,67813,0
123,51913,0
124,85495,0
125,63722,0
126,100131,0
127,56198,0
128,105854,0
129,103866,0
130,401,0
131,53077,0
132,43181,0
133,68636,0
134,50414,1
135,114074,0
136,1492,0
137,32970,0
138,40875,0
139,29231,0
140,20872,0
141,75477,0
142,61086,0
143,7553,0
144,90789,0
145,38917,0
146,7478,0
147,2180,0
148,6752,0
149,95932,0
150,61527,0
151,77618,0
152,61985,0
153,39653,0
154,64377,0
155,35123,0
156,102186,0
157,105588,0
158,15412,0
159,32482,0
160,38442,0
161,86895,0
162,30943,0
163,6537,0
164,94395,0
165,101075,1
166,84560,0
167,58070,0
168,38749,0
169,12665,0
170,55312,0
171,94157,0
172,20118,0
173,108609,0
174,67660,0
175,90334,0
176,1868,0
177,71969,0
178,30217,0
179,22160,0
180,20983,0
181,52373,0
182,24770,0
183,113970,0
184,84972,0
185,62457,0
186,31374,0
187,48755,0
188,35318,0
189,97339,0
190,101113,0
191,2685,0
192,23153,0
193,100934,0
194,69973,0
195,89446,0
196,109931,0
197,94851,0
198,41165,0
199,75014,0
200,740,0
201,90555,0
202,55244,0
203,1845,0
204,45385,0
205,79573,0
206,111834,0
207,10020,0
208,58609,0
209,8840,0
210,67038,0
211,3778,0
212,72704,0
213,4338,0
214,66136,0
215,103332,0
216,19180,0
217,115250,0
218,19100,0
219,9621,0
220,53066,0
221,104456,0
222,42359,0
223,17872,0
224,79889,0
225,18232,1
226,73522,0
227,82468,0
228,58342,0
229,109014,0
230,49127,0
231,63226,0
232,101184,0
233,1556,0
234,69716,0
235,68311,0
236,13438,0
237,21631,0
238,84429,0
239,16247,0
240,66613,0
241,113861,0
242,2866,0
243,31485,0
244,33223,0
245,98629,0
246,65361,0
247,89150,0
248,100450,0
249,18557,0
250,88476,0
251,90775,0
252,62412,0
253,82600,0
254,65586,0
255,23676,0
256,74391,0
257,15515,0
258,19535,0
259,20715,0
260,91848,0
261,22715,0
262,19422,0
263,87538,0
264,43741,0
265,7280,0
266,51504,0
267,73276,0
268,90983,0
269,57394,0
270,70195,0
271,84730,0
272,7187,0
273,109569,0
274,102949,0
275,88599,0
276,113729,0
277,63568,0
278,5624,1
279,43956,0
280,101871,0
281,41405,0
282,53673,0
283,63002,0
284,69630,0
285,86854,0
286,70865,0
287,108263,0
288,8298,0
289,106090,0
290,25033,0
291,46549,0
292,30528,0
293,81344,0
294,44481,0
295,84726,0
296,80944,0
297,31363,0
298,93861,0
299,68474,0
300,105903,0
301,96524,0
302,4074,0
303,503,0
304,68041,0
305,35637,0
306,35734,0
307,113229,1
308,15682,0
309,6008,0
310,74173,0
311,21333,0
312,77485,0
313,20038,0
314,93141,0
315,19475,0
316,29237,0
317,54,0
318,45825,0
319,20552,0
320,108508,0
321,56696,0
322,109061,0
323,109201,0
324,50096,0
325,91639,0
326,110345,0
327,8342,0
328,81036,0
329,22733,0
330,70529,0
331,26772,0
332,73230,0
333,108784,0
334,92585,0
335,58683,0
336,67452,0
337,77057,0
338,20645,0
339,94149,0
340,65962,0
341,60771,0
342,47527,0
343,63973,0
344,37815,0
345,105230,0
346,14687,0
347,46446,0
348,15104,0
349,49636,0
350,56723,0
351,100341,0
352,114938,0
353,34152,0
354,53862,0
355,109588,0
356,74225,0
357,45115,0
358,23290,0
359,73802,0
360,113988,0
361,71645,0
362,33507,0
363,41454,0
364,28939,0
365,46542,0
366,45241,0
367,40348,0
368,32322,1
369,86585,0
370,98364,0
371,20956,0
372,106943,0
373,15156,0
374,40065,0
375,76805,0
376,105656,0
377,77069,0
378,110515,0
379,57250,0
380,59924,0
381,94728,0
382,51652,0
383,100148,0
384,55605,0
385,4274,0
386,7309,0
387,14391,0
388,13744,0
389,77423,0
390,44329,0
391,41649,0
392,34926,0
393,27109,0
394,53345,0
395,40222,0
396,14978,0
397,75938,0
398,80089,0
399,90908,0
400,91585,0
401,113572,0
402,81990,0
403,87361,0
404,6284,0
405,578,0
406,55831,0
407,9482,0
408,89868,0
409,28485,0
410,64083,0
411,53038,0
412,111159,0
